Timestamp,ชื่อคอนโด,ชั้นที่,จำนวนชั้นทั้งหมด,เขต(ที่อยู่),ขนาดห้อง(ตรม),ระยะห่าง Bts(km),ที่จอดรถต่อห้อง,ฟิตเนส,สระว่ายน้ำ,ระยะห่างจากห้าง(km),ระยะทางห่างขึ้นทางด่วน(km),ระบบรักษาความปลอดภัย,ราคาค่าส่วนกลาง,จำนวนห้องนอน,จำนวนห้องน้ำ,ราคาประเมินของแถม,เจ้าของโครงการ,ราคาประเมินที่ดิน(บาท/ตารางวา),ปีที่สร้าง(พ.ศ.),ราคาห้อง
2019/04/05 10:01:45 AM GMT+7,624 คอนโด,5,8,จตุจักร,26.00,2.80,1,มี,ไม่มี,2.50,15.00,รปภ;คียการด์;กล้องวงจรปิด,1000,1,1,12000,Pruksa Real Estate,250000,2556,1500000
2019/04/05 10:19:00 AM GMT+7,Pause condo,6,8,บางนา,26.00,0.80,0.3,มี,มี,4.00,1.00,รปภ;คียการด์;กล้องวงจรปิด,1200,1,1,40000,ออริจิ้น,111000,2559,2400000
2019/04/05 11:05:08 AM GMT+7,แซมเบอรเฌอ รามอินทรา,5,10,รามอินทรา,43.00,10.00,1,มี,มี,15.00,4.00,รปภ;คียการด์;กล้องวงจรปิด,1200,1,1,30000,เอสซี แอสเสท คอร์ปอเรชั่น,120000,2561,3000000
2019/04/05 11:10:19 AM GMT+7,เมโทร  สำโรง,17,34,สำโรง,35.00,0.10,1,มี,มี,0.10,1.00,รปภ;คียการด์;กล้องวงจรปิด;ระบบแสกนใบหน้า,1000,1,1,30000,เมโทร โปลิส,100000,2561,2700000
2019/04/05 11:13:47 AM GMT+7,Porch condo,6,7,หลักสี่,41.00,1.00,1,มี,มี,1.00,2.00,รปภ;คียการด์;กล้องวงจรปิด;ระบบแสกนใบหน้า,1200,1,1,20000,ริช พรอพเพอร์ตี้,140000,2561,2800000
2019/04/05 1:11:54 PM GMT+7,ONYX,8,26,พญาไท,34.00,0.24,1,มี,มี,0.15,7.40,รปภ;คียการด์;กล้องวงจรปิด,16320,1,1,150000,บริษัท แสนสิริ จำกัด (มหาชน),200000,2556,4.48 ล้าน
2019/04/05 1:15:17 PM GMT+7,The Address,3,8,สุขุมวิท,45.00,0.36,1,มี,มี,0.40,1.70,รปภ;คียการด์;กล้องวงจรปิด,19440,1,1,150000,บริษัท เอพี (ไทยแลนด์) จำกัด (มหาชน),250000,2552,4.9 ล้าน
2019/04/05 1:21:53 PM GMT+7,The Crest พหลโยธิน11,17,30,พญาไท,83.00,1.30,,มี,มี,3.40,1.00,รปภ;กล้องวงจรปิด;ฟิตเนส,3320,2,2,3.7,เอสซี แอสเสท คอร์ปอเรชั่น,84668,2012,9900000
2019/04/05 1:34:36 PM GMT+7,Noble Reform,12,22,พญาไท,37.00,0.35,114,มี,มี,1.30,7.00,กล้องวงจรปิด;สวนสาธารณะ,22200,1,1,,บริษัท โนเบิล ดีเวลลอปเมนท์ จำกัด (มหาชน),128000,2012,7900000
2019/04/05 1:42:25 PM GMT+7,Lumpini Ville Ratchaphruek-Bangwaek,4,8,ภาษีเจริญ,22.56,4.80,325,มี,มี,4.20,18.00,กล้องวงจรปิด,786,1,1,,บริษัท แอล.พี.เอ็น. ดีเวลลอปเมนท์ จำกัด (มหาชน),52000,2016,1350000
